"","title","hit","url_val","contentlist"
"1","봄은 봄이네요..","1","https://www.clien.net/service/board/park/14747033?od=T31&po=0&category=&groupCd=community","            다들 지겨운지 아파트 주변을 돌아다닙니다   "
"2","고객만족도 1위? 평가방법이 다릅니다","25","https://www.clien.net/service/board/park/14747031?od=T31&po=0&category=&groupCd=community","      고객만족도 1위라는게 제품 자체에 대한 만족도만을 조사하는게 아닙니다      우리가 어떤 제품을 사려고 대리점에 들리거나 고객센터에 전화하는 것   이런 곳들에서의 응대가 점수로 환산됩니다.      각 부분에 대해 모니터링 요원들이 정해진 채점표를 들고 고객인척 위장해서   방문하거나 전화 문의해서 평점을 내는거죠.      왜 그지같은 SKB가 1위인 비밀이 여기에 있습니다.      대부분 서비스 품질은 그지같아도 SK가 전화 응대는 3사 중 가장 낫다라는건 인정하잖아요.         "
"3","혹시 미쿡사시는 분들, Csc Pay Mobile 앱 써보신분 경험담 좀 부탁드립니다.","4","https://www.clien.net/service/board/kin/14747030?od=T31&po=0&category=&groupCd=community","       Laundry Room 관련하여 좀 궁금한 점이 있어 알아보고 있슴다~      미쿡에 csc service works 에서 운영하는 community 단위에 laundry room 이 설치되어 있고, 이를 android csc pay mobile app 으로 동작시키는 것을 사용해보신 분 계실까요?      간략히 아래내용 좀 알려주시면 정멀정말 고맙겠습니다 ㅜㅜ      1. 사용순서   2. 코스선택은 어디서 하는지   3. 비용결제후 세탁기는 스스로 돌아가는지 아니면 세탁기에서 시작을 눌러줘야 하는지...   4. 기기예약? 즉 내가 찜해놓는 기능은 있는지..      궁금합니다~ 사이트에는 별로 나와있지 않고 ..   미쿡 사시는 여러분의 사소한 도움 좀 부탁드립니다~   "
"4","[다시보는 명작] 마누라 몰래 산 플레이스테이션","131","https://www.clien.net/service/board/park/14747029?od=T31&po=0&category=&groupCd=community","                   진짜 장삐쭈 채널엔 명작이 많은 것 같아요. ㅋㅋ   "
"5","모닝롤의 층격적 진실","242","https://www.clien.net/service/board/park/14747028?od=T31&po=0&category=&groupCd=community","      사실은 디너롤   "
"6","이 시간 SKB 반기가 속도","81","https://www.clien.net/service/board/park/14747027?od=T31&po=0&category=&groupCd=community","      하아...      "
"7","신세계 본점 근처 시끌시끌하네요","206","https://www.clien.net/service/board/park/14747026?od=T31&po=0&category=&groupCd=community","      신세계 본점 옆 건물 공사 시작했나본데 공사관계자들이랑 그 근처 상인분들이랑..   느낌이 앞에 자리 비워달라고 하는거 같으네요   "
"8","전세계 관광업체 40% 일자리 감소 예상 911테러 보다 6배 강력한 영향력","108","https://www.clien.net/service/board/park/14747025?od=T31&po=0&category=&groupCd=community","      항공업계 관광업계의 대격변은 이제 피할수 없을듯 합니다   살아남는자는 저유가의 엄청난 해택을 받을듯 합니다   "
"9","올림픽 어퍼지면 망하는 일본 게임","298","https://www.clien.net/service/board/park/14747024?od=T31&po=0&category=&groupCd=community","                     세가쨩~ 완성도 이빠이 올리세요~   닌텐도노무새키들도 동숲이라도 팔아서 행복하시구여~         "
"10","세입자입니다. 배관공사 관련 질문있습니다.","16","https://www.clien.net/service/board/kin/14747022?od=T31&po=0&category=&groupCd=community","       이번에 전세집에 들어갔는데, 세탁실이 따로 없고 실내 냉장고 옆에 세탁기를 설치하게 되어있네요.       기존 세탁실이 있던 공간을 인테리어 공사해서 실내로 만들었구요, 예전 세탁실의 큰 배관이 주방 쪽으로 나 있었는데, 그걸 바닥아래로 작은 파이프로 연결해벽쪽에 작은 배관이 올라와있습니다.      그런데 이 작은 배관이 문제입니다. .       삼성에서 세탁기를 주문했는데 배관이 작아서 설치 안된다고 해서 반품했습니다. 물 난리나게 되면 기사가 책임을 져야하니 배관 크기를 늘리지 않으면 설치를 해 줄수 없다고 하더라구요. 고무빠킹?이 배관을 꽉 물지 못합니다. 그래서 현재 호스를 배관에 넣는 것만 가능합니다. 삼성은 그 상태로는 진행을 못해준다는 건데요.      집주인에게 사정을 설명하니 자기는 모르는 일이니알아서 하라고 합니다. 전 세입자는 잘 살았다면서.      저희는 배관공사 없이 세탁기돌리다 사고가 나게되면 저희가 책임을 지게될까봐 집주인에게 배관공사를 해달라고 요구하는 상황이고, 집주인은 공사하면 돈이 크게 나가니 모르겠다고 하시는거 같은데       집주인에게 어디까지 요구할수 있고, 요청할 수 있는지, 아니면 저희가 알아서 공사해야하는건지 궁금합니다.      그리고 나중에 문제가 발생하면 모두 저희 책임인건가요?   /Vollago   "
"11","의외로 다마스가 차박용으로 최적화 되어있네요","354","https://www.clien.net/service/board/park/14747020?od=T31&po=0&category=&groupCd=community","                     격벽도 없고   2열시트가 완전히 폴딩이 되서 넓게 쓸수 있고 천장도 생각보다 꽤 높네요 창문 개방감도 좋고   다만 심각한 안전성이 문제지만...   "
"12","오늘 인도 델리에서 돌아왔습니다.","155","https://www.clien.net/service/board/park/14747019?od=T31&po=0&category=&groupCd=community","      무려 도어투도어로 무려 30시간...      인도 한국의 직항은 없어지고 그 국가 사이의 나라들이 하나하나 국경을 폐쇄해가고. 엄청난 비행기값들을 피해. 다행히 카자흐스탄을 통해 귀국했습니다.       전쟁난 것도 아닌데 이 무슨 상황인가요...       저희 모두 알마티 영사관과 인도 대사관의 여러분들에게 감사해하며 돌아왔습니다.     또 알마티에서의 19시간은 평생 기억에 남을 것 같습니다.   "
"13","내년 올림픽을 코로나 극복 기쁨의 잔치로","163","https://www.clien.net/service/board/park/14747017?od=T31&po=0&category=&groupCd=community","      내가 아베라면 지금 이순간 올림픽 연기를 발표하고 내년에 전세계가 위기를 함께 극복한 후 기쁨의 축제를 하자고 선언할텐데요.   "
"14","이슈들에 대해 입닫는 국회의원들을보면...","113","https://www.clien.net/service/board/park/14747015?od=T31&po=0&category=&groupCd=community","      N번 방이니 뭐니하는 이슈들에 대해 자신의 생각을 펴는 정치인들이 보이지 않고   윤석렬이에 대해 하다못해 수사촉구하는 정치인도 보이지 않고   자신의 자리한석만 위한 선거에만 매몰되어 다른이슈에 대해 관심이 없는 정치인들은   바라는 정치인들이 아닌데...      싸워주는 정치인들이 귀하네요.   내 표는 싸워주는 정치인들에게 주고 싶습니다.   "
